,UF,CARGO,COR,propor14,propor18,Variaçao 14-18
309,RS,DEPUTADO FEDERAL,INDÍGENA,0.0030581039755351682,0.0023752969121140144,-0.2232779097387173
310,RS,SENADOR,BRANCA,1.0,0.8,-0.19999999999999996
311,RS,SENADOR,PRETA,0.0,0.13333333333333333,inf
312,RS,SENADOR,PARDA,0.0,0.06666666666666667,inf
313,RS,SENADOR,AMARELA,0.0,0.0,
314,RS,SENADOR,INDÍGENA,0.0,0.0,
315,RO,DEPUTADO ESTADUAL,BRANCA,0.38392857142857145,0.3231441048034934,-0.1583223316746218
316,RO,DEPUTADO ESTADUAL,PRETA,0.09598214285714286,0.0982532751091703,0.023662029044378863
317,RO,DEPUTADO ESTADUAL,PARDA,0.5044642857142857,0.574235807860262,0.13830815009467862
318,RO,DEPUTADO ESTADUAL,AMARELA,0.011160714285714286,0.002183406113537118,-0.8043668122270743
319,RO,DEPUTADO ESTADUAL,INDÍGENA,0.004464285714285714,0.002183406113537118,-0.5109170305676856
320,RO,DEPUTADO FEDERAL,BRANCA,0.4421052631578947,0.4358974358974359,-0.014041514041513999
321,RO,DEPUTADO FEDERAL,PRETA,0.11578947368421053,0.09401709401709402,-0.18803418803418803
322,RO,DEPUTADO FEDERAL,PARDA,0.4421052631578947,0.46153846153846156,0.04395604395604404
323,RO,DEPUTADO FEDERAL,AMARELA,0.0,0.008547008547008548,inf
324,RO,DEPUTADO FEDERAL,INDÍGENA,0.0,0.0,
325,RO,SENADOR,BRANCA,1.0,0.5625,-0.4375
326,RO,SENADOR,PRETA,0.0,0.0625,inf
327,RO,SENADOR,PARDA,0.0,0.375,inf
328,RO,SENADOR,AMARELA,0.0,0.0,
329,RO,SENADOR,INDÍGENA,0.0,0.0,
330,RR,DEPUTADO ESTADUAL,BRANCA,0.3735224586288416,0.25933609958506226,-0.30570145490834594
331,RR,DEPUTADO ESTADUAL,PRETA,0.04491725768321513,0.04564315352697095,0.01616073378466903
332,RR,DEPUTADO ESTADUAL,PARDA,0.5650118203309693,0.6639004149377593,0.1750203996597162
333,RR,DEPUTADO ESTADUAL,AMARELA,0.002364066193853428,0.002074688796680498,-0.12240663900414936
334,RR,DEPUTADO ESTADUAL,INDÍGENA,0.014184397163120567,0.029045643153526972,1.0477178423236515
335,RR,DEPUTADO FEDERAL,BRANCA,0.35294117647058826,0.2922077922077922,-0.17207792207792216
336,RR,DEPUTADO FEDERAL,PRETA,0.07058823529411765,0.03896103896103896,-0.44805194805194803
337,RR,DEPUTADO FEDERAL,PARDA,0.5647058823529412,0.6558441558441559,0.16139069264069275
338,RR,DEPUTADO FEDERAL,AMARELA,0.0,0.0,
339,RR,DEPUTADO FEDERAL,INDÍGENA,0.011764705882352941,0.012987012987012988,0.10389610389610399
340,RR,SENADOR,BRANCA,0.6666666666666666,0.45454545454545453,-0.3181818181818182
341,RR,SENADOR,PRETA,0.0,0.09090909090909091,inf
